https://lucide.dev/icons/


Glyph Name                | QML Hex    | Decimal
origami                   | \ue5e3     | 58851   
grid-2x2-check            | \ue5e4     | 58852   
grid-2x2-x                | \ue5e5     | 58853   
loader-pinwheel           | \ue5e6     | 58854   
mouse-pointer-ban         | \ue5e7     | 58855   
section                   | \ue5e8     | 58856   
lectern                   | \ue5e9     | 58857   
pill-bottle               | \ue5ea     | 58858   
biceps-flexed             | \ue5eb     | 58859   
tv-minimal-play           | \ue5ec     | 58860   
calendar-cog              | \ue5ed     | 58861   
pen-off                   | \ue5ee     | 58862   
pencil-off                | \ue5ef     | 58863   
house-plug                | \ue5f0     | 58864   
house-plus                | \ue5f1     | 58865   
signature                 | \ue5f2     | 58866   
save-off                  | \ue5f3     | 58867   
logs                      | \ue5f4     | 58868   
printer-check             | \ue5f5     | 58869   
scan-qr-code              | \ue5f6     | 58870   
wifi-high                 | \ue5f7     | 58871   
wifi-low                  | \ue5f8     | 58872   
wifi-zero                 | \ue5f9     | 58873   
list-check                | \ue5fa     | 58874   
folder-code               | \ue5fb     | 58875   
user-pen                  | \ue5fc     | 58876   
user-round-pen            | \ue5fd     | 58877   
calendar-arrow-down       | \ue5fe     | 58878   
calendar-arrow-up         | \ue5ff     | 58879   
clock-arrow-down          | \ue600     | 58880   
clock-arrow-up            | \ue601     | 58881   
type-outline              | \ue602     | 58882   
monitor-cog               | \ue603     | 58883   
philippine-peso           | \ue604     | 58884   
text-initial              | \ue605     | 58885   
dam                       | \ue606     | 58886   
chart-bar-decreasing      | \ue607     | 58887   
chart-bar-increasing      | \ue608     | 58888   
chart-bar-stacked         | \ue609     | 58889   
chart-column-stacked      | \ue60a     | 58890   
chart-network             | \ue60b     | 58891   
chart-no-axes-combined    | \ue60c     | 58892   
chart-spline              | \ue60d     | 58893   
square-square             | \ue60e     | 58894   
map-pin-check             | \ue60f     | 58895   
map-pin-check-inside      | \ue610     | 58896   
map-pin-minus             | \ue611     | 58897   
map-pin-minus-inside      | \ue612     | 58898   
map-pin-plus              | \ue613     | 58899   
map-pin-plus-inside       | \ue614     | 58900   
map-pin-x                 | \ue615     | 58901   
map-pin-x-inside          | \ue616     | 58902   
id-card                   | \ue617     | 58903   
circle-fading-arrow-up    | \ue618     | 58904   
omega                     | \ue619     | 58905   
microchip                 | \ue61a     | 58906   
amphora                   | \ue61b     | 58907   
map-pin-house             | \ue61c     | 58908   
bandage                   | \ue61d     | 58909   
table-of-contents         | \ue61e     | 58910   
chevrons-left-right-ellipsis | \ue61f     | 58911   
ethernet-port             | \ue620     | 58912   
binoculars                | \ue621     | 58913   
tickets                   | \ue622     | 58914   
tickets-plane             | \ue623     | 58915   
chart-gantt               | \ue624     | 58916   
trending-up-down          | \ue625     | 58917   
volume-off                | \ue626     | 58918   
octagon-minus             | \ue627     | 58919   
grid-2x2-plus             | \ue628     | 58920   
headphone-off             | \ue629     | 58921   
clock-alert               | \ue62a     | 58922   
briefcase-conveyor-belt   | \ue62b     | 58923   
message-square-lock       | \ue62c     | 58924   
file-user                 | \ue62d     | 58925   
eye-closed                | \ue62e     | 58926   
volleyball                | \ue62f     | 58927   
calendar-1                | \ue630     | 58928   
wind-arrow-down           | \ue631     | 58929   
laptop-minimal-check      | \ue632     | 58930   
cloud-alert               | \ue633     | 58931   
equal-approximately       | \ue634     | 58932   
toilet                    | \ue635     | 58933   
calendar-sync             | \ue636     | 58934   
image-upscale             | \ue637     | 58935   
droplet-off               | \ue638     | 58936   
list-filter-plus          | \ue639     | 58937   
scan-heart                | \ue63a     | 58938   
waves-ladder              | \ue63b     | 58939   
house-wifi                | \ue63c     | 58940   
triangle-dashed           | \ue63d     | 58941   
battery-plus              | \ue63e     | 58942   
map-plus                  | \ue63f     | 58943   
circle-small              | \ue640     | 58944   
mars                      | \ue641     | 58945   
mars-stroke               | \ue642     | 58946   
non-binary                | \ue643     | 58947   
transgender               | \ue644     | 58948   
venus                     | \ue645     | 58949   
venus-and-mars            | \ue646     | 58950   
shield-user               | \ue647     | 58951   
square-round-corner       | \ue648     | 58952   
shrimp                    | \ue649     | 58953   
clock-fading              | \ue64a     | 58954   
saudi-riyal               | \ue64b     | 58955   
banknote-arrow-down       | \ue64c     | 58956   
banknote-arrow-up         | \ue64d     | 58957   
banknote-x                | \ue64e     | 58958   
spline-pointer            | \ue64f     | 58959   
rotate-ccw-key            | \ue650     | 58960   
heart-minus               | \ue651     | 58961   
heart-plus                | \ue652     | 58962   
brick-wall-fire           | \ue653     | 58963   
bubbles                   | \ue654     | 58964   
map-pin-pen               | \ue655     | 58965   
rectangle-goggles         | \ue656     | 58966   
squares-exclude           | \ue657     | 58967   
squares-intersect         | \ue658     | 58968   
squares-subtract          | \ue659     | 58969   
squares-unite             | \ue65a     | 58970   
shredder                  | \ue65b     | 58971   
decimals-arrow-left       | \ue65c     | 58972   
decimals-arrow-right      | \ue65d     | 58973   
bow-arrow                 | \ue65e     | 58974   
truck-electric            | \ue65f     | 58975   
user-lock                 | \ue660     | 58976   
columns-3-cog             | \ue661     | 58977   
ruler-dimension-line      | \ue662     | 58978   
wifi-pen                  | \ue663     | 58979   
door-closed-locked        | \ue664     | 58980   
hamburger                 | \ue665     | 58981   
brush-cleaning            | \ue666     | 58982   
clock-plus                | \ue667     | 58983   
panda                     | \ue668     | 58984   
soap-dispenser-droplet    | \ue669     | 58985   
gpu                       | \ue66a     | 58986   
check-line                | \ue66b     | 58987   
square-dashed-top-solid   | \ue66c     | 58988   
circle-pound-sterling     | \ue66d     | 58989   
cloud-check               | \ue66e     | 58990   
grid-3x2                  | \ue66f     | 58991   
id-card-lanyard           | \ue670     | 58992   
card-sim                  | \ue671     | 58993   
book-alert                | \ue672     | 58994   
rectangle-circle          | \ue673     | 58995   
wifi-cog                  | \ue674     | 58996   
barrel                    | \ue675     | 58997   
drone                     | \ue676     | 58998   
spool                     | \ue677     | 58999   
georgian-lari             | \ue678     | 59000   
squircle-dashed           | \ue679     | 59001   
line-squiggle             | \ue67a     | 59002   
bottle-wine               | \ue67b     | 59003   
vector-square             | \ue67c     | 59004   
tool-case                 | \ue67d     | 59005   
badge-turkish-lira        | \ue67e     | 59006   
receipt-turkish-lira      | \ue67f     | 59007   
turkish-lira              | \ue680     | 59008   
wifi-sync                 | \ue681     | 59009   
spotlight                 | \ue682     | 59010   
hat-glasses               | \ue683     | 59011   
square-pause              | \ue684     | 59012   
square-stop               | \ue685     | 59013   
map-minus                 | \ue686     | 59014   
user-star                 | \ue687     | 59015   
clipboard-clock           | \ue688     | 59016   
handbag                   | \ue689     | 59017   
closed-caption            | \ue68a     | 59018   
hand-fist                 | \ue68b     | 59019   
turntable                 | \ue68c     | 59020   
circle-star               | \ue68d     | 59021   
square-star               | \ue68e     | 59022   
kayak                     | \ue68f     | 59023   
brick-wall-shield         | \ue690     | 59024   
rose                      | \ue691     | 59025   
panel-left-right-dashed   | \ue692     | 59026   
panel-top-bottom-dashed   | \ue693     | 59027   
list-chevrons-down-up     | \ue694     | 59028   
house-heart               | \ue695     | 59029   
list-chevrons-up-down     | \ue696     | 59030   
ev-charger                | \ue697     | 59031   
motorbike                 | \ue698     | 59032   
monitor-cloud             | \ue699     | 59033   
birdhouse                 | \ue69a     | 59034   
gamepad-directional       | \ue69b     | 59035   
git-branch-minus          | \ue69c     | 59036   
helicopter                | \ue69d     | 59037   
clock-check               | \ue69e     | 59038   
solar-panel               | \ue69f     | 59039   
chess-bishop              | \ue6a0     | 59040   
chess-king                | \ue6a1     | 59041   
chess-knight              | \ue6a2     | 59042   
chess-pawn                | \ue6a3     | 59043   
chess-queen               | \ue6a4     | 59044   
chess-rook                | \ue6a5     | 59045   
mouse-pointer-2-off       | \ue6a6     | 59046   
calendars                 | \ue6a7     | 59047   
form                      | \ue6a8     | 59048   
waves-arrow-down          | \ue6a9     | 59049   
waves-arrow-up            | \ue6aa     | 59050   
book-search               | \ue6ab     | 59051   
scooter                   | \ue6ac     | 59052   
van                       | \ue6ad     | 59053   
weight-tilde              | \ue6ae     | 59054   
balloon                   | \ue6af     | 59055   
circle-pile               | \ue6b0     | 59056   
cloud-backup              | \ue6b1     | 59057   
cloud-sync                | \ue6b2     | 59058   
layers-plus               | \ue6b3     | 59059   
search-alert              | \ue6b4     | 59060   
hd                        | \ue6b5     | 59061   
fishing-hook              | \ue6b6     | 59062   
cannabis-off              | \ue6b7     | 59063   
stone                     | \ue6b8     | 59064   
toolbox                   | \ue6b9     | 59065   
globe-x                   | \ue6ba     | 59066   
printer-x                 | \ue6bb     | 59067   
database-search           | \ue6bc     | 59068   
user-key                  | \ue6bd     | 59069   
user-round-key            | \ue6be     | 59070   
lens-concave              | \ue6bf     | 59071   
lens-convex               | \ue6c0     | 59072   
globe-off                 | \ue6c1     | 59073   
line-dot-right-horizontal | \ue6c2     | 59074   
git-merge-conflict        | \ue6c3     | 59075   
mirror-rectangular        | \ue6c4     | 59076   
mirror-round              | \ue6c5     | 59077   
towel-rack                | \ue6c6     | 59078   
shelving-unit             | \ue6c7     | 59079   
message-circle-check      | \ue6c8     | 59080   
mouse-left                | \ue6c9     | 59081   
mouse-right               | \ue6ca     | 59082   
x-line-top                | \ue6cb     | 59083   
message-square-check      | \ue6cc     | 59084   
metronome                 | \ue6cd     | 59085   
square-arrow-right-enter  | \ue6ce     | 59086   
square-arrow-right-exit   | \ue6cf     | 59087   
