https://lucide.dev/icons/


Glyph Name                | QML Hex    | Decimal
skip-forward              | \ue160     | 57696   
slack                     | \ue161     | 57697   
sliders-vertical          | \ue162     | 57698   
smartphone                | \ue163     | 57699   
smile                     | \ue164     | 57700   
snowflake                 | \ue165     | 57701   
speaker                   | \ue166     | 57702   
square                    | \ue167     | 57703   
square-asterisk           | \ue168     | 57704   
square-chart-gantt        | \ue169     | 57705   
square-check-big          | \ue16a     | 57706   
square-code               | \ue16b     | 57707   
square-dashed-kanban      | \ue16c     | 57708   
square-divide             | \ue16d     | 57709   
square-dot                | \ue16e     | 57710   
square-equal              | \ue16f     | 57711   
square-kanban             | \ue170     | 57712   
square-minus              | \ue171     | 57713   
square-pen                | \ue172     | 57714   
square-plus               | \ue173     | 57715   
square-slash              | \ue174     | 57716   
square-x                  | \ue175     | 57717   
star                      | \ue176     | 57718   
strikethrough             | \ue177     | 57719   
sun                       | \ue178     | 57720   
sunrise                   | \ue179     | 57721   
sunset                    | \ue17a     | 57722   
swiss-franc               | \ue17b     | 57723   
switch-camera             | \ue17c     | 57724   
table                     | \ue17d     | 57725   
tablet                    | \ue17e     | 57726   
tag                       | \ue17f     | 57727   
target                    | \ue180     | 57728   
terminal                  | \ue181     | 57729   
text-align-center         | \ue182     | 57730   
text-align-end            | \ue183     | 57731   
text-align-justify        | \ue184     | 57732   
text-align-start          | \ue185     | 57733   
thermometer               | \ue186     | 57734   
thermometer-snowflake     | \ue187     | 57735   
thermometer-sun           | \ue188     | 57736   
thumbs-down               | \ue189     | 57737   
thumbs-up                 | \ue18a     | 57738   
toggle-left               | \ue18b     | 57739   
toggle-right              | \ue18c     | 57740   
trash                     | \ue18d     | 57741   
trash-2                   | \ue18e     | 57742   
trello                    | \ue18f     | 57743   
trending-down             | \ue190     | 57744   
trending-up               | \ue191     | 57745   
triangle                  | \ue192     | 57746   
triangle-alert            | \ue193     | 57747   
truck                     | \ue194     | 57748   
tv                        | \ue195     | 57749   
twitch                    | \ue196     | 57750   
twitter                   | \ue197     | 57751   
type                      | \ue198     | 57752   
umbrella                  | \ue199     | 57753   
underline                 | \ue19a     | 57754   
undo                      | \ue19b     | 57755   
unlink                    | \ue19c     | 57756   
unlink-2                  | \ue19d     | 57757   
upload                    | \ue19e     | 57758   
user                      | \ue19f     | 57759   
user-check                | \ue1a0     | 57760   
user-minus                | \ue1a1     | 57761   
user-plus                 | \ue1a2     | 57762   
user-x                    | \ue1a3     | 57763   
users                     | \ue1a4     | 57764   
video                     | \ue1a5     | 57765   
video-off                 | \ue1a6     | 57766   
view                      | \ue1a7     | 57767   
voicemail                 | \ue1a8     | 57768   
volume                    | \ue1a9     | 57769   
volume-1                  | \ue1aa     | 57770   
volume-2                  | \ue1ab     | 57771   
volume-x                  | \ue1ac     | 57772   
watch                     | \ue1ad     | 57773   
wifi                      | \ue1ae     | 57774   
wifi-off                  | \ue1af     | 57775   
wind                      | \ue1b0     | 57776   
wrench                    | \ue1b1     | 57777   
x                         | \ue1b2     | 57778   
youtube                   | \ue1b3     | 57779   
zap                       | \ue1b4     | 57780   
